study_words,test_words,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
poster,,,,0,10,10,14,,,,,13.876805200008675,,13.834598100045696,13.876805200008675,13.876805200008675,14.23226230009459,1.968,0.36702130001503974,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
phone,,,,0,11,11,2,,,,,14.260246800025925,,14.232525800005533,14.260246800025925,14.260246800025925,15.333436500048265,2.592,1.0789376000175253,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
laptop,,,,0,12,12,5,,,,,15.361451600096188,,15.33368830010295,15.361451600096188,15.361451600096188,15.751672900049016,2.592,0.3829005000879988,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
chart,,,,0,13,13,6,,,,,15.796090400079265,,15.752136200084351,15.796090400079265,15.796090400079265,17.06810160004534,2.792,1.2855339999077842,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
pastry,,,,0,14,14,9,,,,,17.09718770009931,,17.068399300100282,17.09718770009931,17.09718770009931,18.403909100103192,1.32,1.2969508999958634,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,l_pt_p,laptop,old,,,,,0,0,0,0,18.431574700050987,,,,,,,,18.414461700012907,18.431574700050987,18.431574700050987,18.431574700050987,0.015349199995398521,23.841567100025713,laptop,[-0.004],[-0.302],[1],[0],[0],[5.421460699988529],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,_ou_e,mouse,old,,,,,0,1,1,3,23.856107900035568,,,,,,,,23.842705200077035,23.856107900035568,23.856107900035568,23.856107900035568,0.0028285000007599592,27.094496600097045,house,[-0.004],[-0.302],[1],[0],[0],[3.248545699985698],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,c_s_,case,old,,,,,0,2,2,5,27.1092630000785,,,,,,,,27.095230400096625,27.1092630000785,27.1092630000785,27.1092630000785,0.002805899945087731,33.91832870000508,cash,[-0.004],[-0.302],[1],[0],[0],[6.819877700065263],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,_a_bl_,marble,old,,,,,0,3,3,11,33.93365620006807,,,,,,,,33.91895340010524,33.93365620006807,33.93365620006807,33.93365620006807,0.002739400020800531,39.09078970004339,table,[-0.004],[-0.302],[1],[0],[0],[5.1686282000737265],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,_ha_t,chart,old,,,,,0,4,4,1,39.10631880001165,,,,,,,,39.091498500085436,39.10631880001165,39.10631880001165,39.10631880001165,0.002880800049751997,46.083670300082304,hat,[-0.004],[-0.302],[1],[0],[0],[6.988516399986111],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,p_s_ry,pastry,old,,,,,0,5,5,4,46.11225830006879,,,,,,,,46.084756200085394,46.11225830006879,46.11225830006879,46.11225830006879,0.0033478999976068735,54.59119940001983,pastry,[-0.004],[-0.302],[1],[0],[0],[8.50250409997534],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,p_nc_l,pencil,new,,,,,0,6,6,16,54.60659610002767,,,,,,,,54.591951700043865,54.60659610002767,54.60659610002767,54.60659610002767,0.002776099951006472,61.03167660010513,pencil,[-0.004],[-0.302],[1],[0],[0],[6.436381999985315],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,v_s_,vase,new,,,,,0,7,7,17,61.06221450003795,,,,,,,,61.03255130001344,61.06221450003795,61.06221450003795,61.06221450003795,0.005512400064617395,71.04180750006344,vs,[],[],[],[],[],[],[],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,c_m_ra,camera,new,,,,,0,8,8,19,71.05845040001441,,,,,,,,71.04261220002081,71.05845040001441,71.05845040001441,71.05845040001441,0.013321600039489567,77.91755760007072,camera,[-0.004],[-0.302],[1],[0],[0],[6.8712521000998095],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,p_st_r,poster,old,,,,,0,9,9,9,77.93191560008563,,,,,,,,77.91828800004441,77.93191560008563,77.93191560008563,77.93191560008563,0.0031618999782949686,84.20716460002586,pastry,[-0.004],[-0.302],[1],[0],[0],[6.285264500067569],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,p_li_e,police,old,,,,,0,10,10,7,84.22262680006679,,,,,,,,84.20778980001342,84.22262680006679,84.22262680006679,84.22262680006679,0.002607000060379505,88.19464090000838,police,[-0.004],[-0.302],[1],[0],[0],[3.9838025000644848],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,ta_l_,table,new,,,,,0,11,11,15,88.2100607000757,,,,,,,,88.19534360000398,88.2100607000757,88.2100607000757,88.2100607000757,0.0029334999853745103,92.09898290003184,tale,[-0.004],[-0.302],[1],[0],[0],[3.900032400037162],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,_ho_e,phone,old,,,,,0,12,12,12,92.12978479999583,,,,,,,,92.10001160006505,92.12978479999583,92.12978479999583,92.12978479999583,0.004337599966675043,98.79275340004824,shoes,[-0.004],[-0.302],[1],[0],[0],[6.6878727999283],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,k_y_,keys,old,,,,,0,13,13,8,98.82105380005669,,,,,,,,98.79386219999287,98.82105380005669,98.82105380005669,98.82105380005669,0.003778900019824505,101.84333050006535,keys,[-0.004],[-0.302],[1],[0],[0],[3.0453158000018448],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,t_hi_t,tshirt,old,,,,,0,14,14,2,101.8589740000898,,,,,,,,101.84397620009258,101.8589740000898,101.8589740000898,101.8589740000898,0.002642399980686605,105.6642387000611,tshirt,[-0.004],[-0.302],[1],[0],[0],[3.8170078000985086],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,bo_t_e,bottle,new,,,,,0,15,15,18,105.67955310002435,,,,,,,,105.66510119999293,105.67955310002435,105.67955310002435,105.67955310002435,0.003409500000998378,109.93608310003765,bottle,[-0.004],[-0.302],[1],[0],[0],[4.2670523000415415],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,c_s_io_,cushion,old,,,,,0,16,16,14,109.95081589999609,,,,,,,,109.93685540009756,109.95081589999609,109.95081589999609,109.95081589999609,0.0031834000255912542,119.19627549999859,cushion,[-0.004],[-0.302],[1],[0],[0],[9.255763499997556],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,_ru_s_,cruise,old,,,,,0,17,17,6,119.21154620009474,,,,,,,,119.19693000009283,119.21154620009474,119.21154620009474,119.21154620009474,0.002900299965403974,123.09985850006342,cruise,[-0.004],[-0.302],[1],[0],[0],[3.8995502999750897],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,_oa_d,board,old,,,,,0,18,18,10,123.11545620008837,,,,,,,,123.10054840007797,123.11545620008837,123.11545620008837,123.11545620008837,0.002729400061070919,128.20531320001464,hoard,[-0.004],[-0.302],[1],[0],[0],[5.101437799981795],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
,_oo_,book,old,,,,,0,19,19,13,128.22086940007284,,,,,,,,128.20603780006059,128.22086940007284,128.22086940007284,128.22086940007284,0.0031611999729648232,131.37644200003706,cool,[-0.004],[-0.302],[1],[0],[0],[3.1665443000383675],['text_3'],318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
