study_words,test_words,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
marble,,,,0,0,0,3,,,,,0.06131960009224713,,0.019445600104518235,0.06131960009224713,0.06131960009224713,3.320152400061488,3.008,3.273146999999881,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
mouse,,,,0,1,1,8,,,,,3.3482158000115305,,3.3205465000355616,3.3482158000115305,3.3482158000115305,4.15395490010269,3.008,0.8118522999575362,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
keys,,,,0,2,2,13,,,,,4.182513500098139,,4.154216900002211,4.182513500098139,4.182513500098139,5.454493600060232,3.312,1.2666095000458881,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
cruise,,,,0,3,3,11,,,,,5.483861100045033,,5.454810100025497,5.483861100045033,5.483861100045033,5.989684000029229,3.312,0.5125351999886334,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
book,,,,0,4,4,0,,,,,6.017654900089838,,5.989964900072664,6.017654900089838,6.017654900089838,7.407889600028284,2.6959999999999997,1.3966695999260992,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
case,,,,0,5,5,10,,,,,7.435835900017992,,7.408144899993204,7.435835900017992,7.435835900017992,9.076844900031574,3.904,1.6469468999421224,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
cushion,,,,0,6,6,1,,,,,9.104498700005934,,9.077104500029236,9.104498700005934,9.104498700005934,10.477694900007918,3.648,1.377881299937144,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
tshirt,,,,0,7,7,7,,,,,10.505846400046721,,10.477957500028424,10.505846400046721,10.505846400046721,11.479993800050579,3.648,0.9707159000681713,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
board,,,,0,8,8,4,,,,,11.507224400062114,,11.480385100003332,11.507224400062114,11.507224400062114,12.345299000036903,3.648,0.8260736999800429,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
police,,,,0,9,9,12,,,,,12.37496020004619,,12.345583400106989,12.37496020004619,12.37496020004619,13.834014700027183,1.968,1.4514464000239968,,,,,,,,,,,,,,,318883,001,2024-10-25_12h03.07.103,WordPrimingExperiment,2024.1.5,None,2024-10-25 12h03.12.912574 +0530,
