study_words,test_words,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
poster,,,,0,0,0,14,,,,,0.05804899998474866,,0.014019199996255338,0.05804899998474866,0.05804899998474866,2.9320825999602675,1.0,2.8956889000255615,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
chart,,,,0,1,1,6,,,,,2.961476199910976,,2.932413699920289,2.961476199910976,2.961476199910976,4.485669699963182,1.0,1.5311886999988928,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
case,,,,0,2,2,10,,,,,4.513158999965526,,4.486037399969064,4.513158999965526,4.513158999965526,5.351392999989912,1.0,0.8432363000465557,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
police,,,,0,3,3,12,,,,,5.380760099971667,,5.351610999903642,5.380760099971667,5.380760099971667,6.102349599939771,1.0,0.7301458000438288,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
pastry,,,,0,4,4,9,,,,,6.131556699983776,,6.102570999995805,6.131556699983776,6.131556699983776,6.903421999886632,1.0,0.7795628000749275,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
laptop,,,,0,5,5,5,,,,,6.932448599953204,,6.903642799938098,6.932448599953204,6.932448599953204,7.6373594999313354,1.0,0.7134422999806702,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
tshirt,,,,0,6,6,7,,,,,7.666626199963503,,7.637579899979755,7.666626199963503,7.666626199963503,8.421751399990171,1.0,0.763461499940604,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
phone,,,,0,7,7,2,,,,,8.450864899903536,,8.42197419994045,8.450864899903536,8.450864899903536,9.155882899998687,1.0,0.7121764998883009,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
book,,,,0,8,8,0,,,,,9.185072099906392,,9.156104899942875,9.185072099906392,9.185072099906392,10.056596499984153,1.0,0.8802304000128061,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
cushion,,,,0,9,9,1,,,,,10.08603669994045,,10.056856599985622,10.08603669994045,10.08603669994045,10.890910399961285,1.0,0.8137420000275597,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
cruise,,,,0,10,10,11,,,,,10.920248799957335,,10.891135499929078,10.920248799957335,10.920248799957335,11.62518899992574,1.0,0.7131389999995008,,,,,,,,,,,,,,,169920,001,2024-10-25_16h01.42.778,WordPrimingExperiment,2024.1.5,None,2024-10-25 16h01.47.289632 +0530,
