study_words,test_words,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
board,,,,0,0,0,4,,,,,0.05787559994496405,,0.015280699939467013,0.05787559994496405,0.05787559994496405,3.215405000024475,1.968,3.1775822000345215,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
tshirt,,,,0,1,1,7,,,,,3.2447039999533445,,3.2168562000151724,3.2447039999533445,3.2447039999533445,4.750537600019015,1.968,1.5117281000129879,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
poster,,,,0,2,2,14,,,,,4.7797397000249475,,4.750773099949583,4.7797397000249475,4.7797397000249475,6.254827399970964,1.664,1.4789304999867454,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
police,,,,0,3,3,12,,,,,6.281337199965492,,6.255054199951701,6.281337199965492,6.281337199965492,8.237640699953772,2.2960000000000003,1.9618771999375895,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
cruise,,,,0,4,4,11,,,,,8.266954599996097,,8.237867899937555,8.266954599996097,8.266954599996097,9.772521500010043,2.024,1.5143931999336928,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
book,,,,0,5,5,0,,,,,9.802075800020248,,9.77275310002733,9.802075800020248,9.802075800020248,12.008429400040768,1.016,2.2152581000700593,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
keys,,,,0,6,6,13,,,,,12.037861399934627,,12.008649499970488,12.037861399934627,12.037861399934627,14.544732799986377,1,2.514189700013958,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
laptop,,,,0,7,7,5,,,,,14.573914099950343,,14.544962399988435,14.573914099950343,14.573914099950343,17.714836500003003,1,3.1490719999419525,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
marble,,,,0,8,8,3,,,,,17.744186399970204,,17.71507669996936,17.744186399970204,17.744186399970204,19.400030500022694,1.016,1.664042599964887,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
cushion,,,,0,9,9,1,,,,,19.429299399955198,,19.40026379993651,19.429299399955198,19.429299399955198,21.268719799933024,1.016,1.8467109000775963,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
