study_words,test_words,reference,old_new,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials_2.thisRepN,trials_2.thisTrialN,trials_2.thisN,trials_2.thisIndex,thisRow.t,notes,trial.started,text.started,slider.started,trial.stopped,slider.response,slider.rt,test.started,text_2.started,textbox.started,text_3.started,mouse.started,test.stopped,textbox.text,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,participant,session,date,expName,psychopyVersion,frameRate,expStart,
mouse,,,,0,10,10,8,,,,,21.29816240002401,,21.268947800039314,21.29816240002401,21.29816240002401,22.35305369994603,1.016,1.0640020999126136,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
chart,,,,0,11,11,6,,,,,22.382424799958244,,22.353279700037092,22.382424799958244,22.382424799958244,23.037241599988192,1.016,0.6635448000160977,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
case,,,,0,12,12,10,,,,,23.066938300034963,,23.0374689999735,23.066938300034963,23.066938300034963,23.73805209994316,1.016,0.6798559000017121,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
pastry,,,,0,13,13,9,,,,,23.76729340001475,,23.738286399981007,23.76729340001475,23.76729340001475,24.655678699957207,1.016,0.8964981000171974,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
phone,,,,0,14,14,2,,,,,24.685133500024676,,24.655902600032277,24.685133500024676,24.685133500024676,25.373289300012402,1.016,0.6968149000313133,,,,,,,,,,,,,,,298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,k_y_,keys,old,,,,,0,0,0,8,25.40260229993146,,,,,,,,25.378645799937658,25.40260229993146,25.40260229993146,25.40260229993146,0.007940200041048229,31.461949300020933,keys,[0.04],[-0.3],[1],[0],[0],[6.079975900007412],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,p_li_e,police,old,,,,,0,1,1,7,31.47703619999811,,,,,,,,31.46267179993447,31.47703619999811,31.47703619999811,31.47703619999811,0.0018357000080868602,35.632977699977346,police,[0.04],[-0.3],[1],[0],[0],[4.167993600014597],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,ta_l_,table,new,,,,,0,2,2,15,35.6483617000049,,,,,,,,35.6334557000082,35.6483617000049,35.6483617000049,35.6483617000049,0.002015399979427457,40.021354599972256,table,[0.04],[-0.3],[1],[0],[0],[4.385377799975686],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,v_s_,vase,new,,,,,0,3,3,17,40.036497300025076,,,,,,,,40.02183139999397,40.036497300025076,40.036497300025076,40.036497300025076,0.0028195999329909682,48.43064959999174,vase,[0.04],[-0.3],[1],[0],[0],[8.405466499971226],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,c_s_,case,old,,,,,0,4,4,5,48.44572519999929,,,,,,,,48.431116099935025,48.44572519999929,48.44572519999929,48.44572519999929,0.0017942999256774783,52.30108000000473,cash,[0.04],[-0.3],[1],[0],[0],[3.86771540006157],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,_ha_t,chart,old,,,,,0,5,5,1,52.31704470003024,,,,,,,,52.3015467999503,52.31704470003024,52.31704470003024,52.31704470003024,0.0019017999293282628,62.311279300018214,,[],[],[],[],[],[],[],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,p_nc_l,pencil,new,,,,,0,6,6,16,62.32759619993158,,,,,,,,62.31178610003553,62.32759619993158,62.32759619993158,62.32759619993158,0.01259209995623678,67.65145120001398,picnic,[0.04],[-0.3],[1],[0],[0],[5.336798700038344],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,_ru_s_,cruise,old,,,,,0,7,7,6,67.66695380001329,,,,,,,,67.65192620002199,67.66695380001329,67.66695380001329,67.66695380001329,0.0019119000062346458,74.64275370002724,crush,[0.04],[-0.3],[1],[0],[0],[6.988372899941169],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,_oo_,book,old,,,,,0,8,8,13,74.65824739995878,,,,,,,,74.64323369995691,74.65824739995878,74.65824739995878,74.65824739995878,0.001846599974669516,82.30127769999672,fool,[0.04],[-0.3],[1],[0],[0],[7.655710999970324],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,bo_t_e,bottle,new,,,,,0,9,9,18,82.31649360002484,,,,,,,,82.30174849997275,82.31649360002484,82.31649360002484,82.31649360002484,0.002104799961671233,87.17400949995499,bottle,[0.04],[-0.3],[1],[0],[0],[4.869540899991989],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,c_m_ra,camera,new,,,,,0,10,10,19,87.18861289997585,,,,,,,,87.17457809997723,87.18861289997585,87.18861289997585,87.18861289997585,0.0019911000272259116,90.81123320001643,camera,[0.04],[-0.3],[1],[0],[0],[3.634212299948558],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,c_s_io_,cushion,old,,,,,0,11,11,14,90.82593359996099,,,,,,,,90.81176569999661,90.82593359996099,90.82593359996099,90.82593359996099,0.0020561000565066934,95.08192319993395,cushion,[0.04],[-0.3],[1],[0],[0],[4.267647900036536],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,_ou_e,mouse,old,,,,,0,12,12,3,95.09739120001905,,,,,,,,95.0824403000297,95.09739120001905,95.09739120001905,95.09739120001905,0.002043799962848425,99.47011659992859,house,[0.04],[-0.3],[1],[0],[0],[4.38511070003733],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,p_st_r,poster,old,,,,,0,13,13,9,99.48566609993577,,,,,,,,99.4705862000119,99.48566609993577,99.48566609993577,99.48566609993577,0.0018185999942943454,106.59556849999353,poster,[0.04],[-0.3],[1],[0],[0],[7.122693600016646],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,p_s_ry,pastry,old,,,,,0,14,14,4,106.60989730001893,,,,,,,,106.59603979997337,106.60989730001893,106.60989730001893,106.60989730001893,0.0018993999110534787,110.0651107999729,pastry,[0.04],[-0.3],[1],[0],[0],[3.466657100012526],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,t_hi_t,tshirt,old,,,,,0,15,15,2,110.08073899999727,,,,,,,,110.06557520001661,110.08073899999727,110.08073899999727,110.08073899999727,0.0018921999726444483,114.1363502999302,tshirt,[0.04],[-0.3],[1],[0],[0],[4.068410699954256],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,_ho_e,phone,old,,,,,0,16,16,12,114.15184980002232,,,,,,,,114.13681569998153,114.15184980002232,114.15184980002232,114.15184980002232,0.0018723999382928014,121.84448299999349,shoes,[0.04],[-0.3],[1],[0],[0],[7.7052957999985665],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,l_pt_p,laptop,old,,,,,0,17,17,0,121.86025949998293,,,,,,,,121.8450906999642,121.86025949998293,121.86025949998293,121.86025949998293,0.0018137999577447772,126.03265309997369,laptop,[0.04],[-0.3],[1],[0],[0],[4.185218599974178],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,_a_bl_,marble,old,,,,,0,18,18,11,126.04803710000124,,,,,,,,126.03312389994971,126.04803710000124,126.04803710000124,126.04803710000124,0.0019688999745994806,130.75495500001125,table,[0.04],[-0.3],[1],[0],[0],[4.7194238000083715],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
,_oa_d,board,old,,,,,0,19,19,10,130.76996990002226,,,,,,,,130.75543629995082,130.76996990002226,130.76996990002226,130.76996990002226,0.002114600036293268,139.76510399999097,board,[0.04],[-0.3],[1],[0],[0],[9.00702410005033],['text_3'],298215,001,2024-10-25_15h58.55.642,WordPrimingExperiment,2024.1.5,None,2024-10-25 15h59.01.206581 +0530,
